simple_amid,bundle_amid,Frontend_name,original_frontend_name,Type,Body_Type,Size,Top_Bottom,Product_Padding,Shape_Primary,supplier,MS_Product_Image_WEB_1,Color_AM_Primary,Showroom_Month,showroom_launch,Purchase_Type,tag,cloned_products,target_inventory,forecast_inventory,Need_to_Buy,actual_buy,Cluster,Calculation,original_tag,original_target_inventory,original_forecast_inventory,Original_Need_to_Buy,buy_ratio,size_range,flag,sale_ratio,sup_ratio
PCT205945,PCT205947,Lou Light Beige,Lou Light Beige,bras,regular,38D,Top,contour,Balconette,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187088.jpg,Beige,2026-01-03,2026-03-01,New,,0,234,0,234,233,bras_regular_contour,SUP,,234,0,234,0.073664242807461269,27,Alpha_numeric,0.078512287581104429,0.07215357458075905
PCT205948,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,30A,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,1,0,1,0,bras_regular_contour,SUP,,1,0,1,0.0,28,Alpha_numeric,0.0062170874464641005,0.0021081479919890377
PCT205949,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,30B,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,1,0,1,0,bras_regular_contour,SUP,,1,0,1,0.0,28,Alpha_numeric,0.0037362863044272548,0.001791925793190682
PCT205950,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,30C,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,1,0,1,0,bras_regular_contour,SUP,,1,0,1,0.0,28,Alpha_numeric,0.003799576851385468,0.0021081479919890377
PCT205951,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,30D,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,1,0,1,0,bras_regular_contour,SUP,,1,0,1,0.0,28,Alpha_numeric,0.0044009448051819146,0.0022135553915884894
PCT205952,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,30DD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,1,0,1,0,bras_regular_contour,SUP,,1,0,1,0.0,28,Alpha_numeric,0.0025180013357716411,0.0023189627911879415
PCT205953,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,30DDD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,5,0,5,0,bras_regular_contour,SUP,,5,0,5,0.0,28,Alpha_numeric,0.0047104822901356579,0.0025297775903868449
PCT205954,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,32A,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,39,0,39,0,bras_regular_contour,SUP,,39,0,39,0.0,28,Alpha_numeric,0.017862492075776112,0.014335406345525456
PCT205955,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,32B,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,93,0,93,55,bras_regular_contour,SUP,,93,0,93,0.026724975704567541,28,Alpha_numeric,0.025945514157178679,0.026246442500263516
PCT205956,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,32C,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,86,0,86,52,bras_regular_contour,SUP,,86,0,86,0.025267249757045675,28,Alpha_numeric,0.020185129002214187,0.024454516707072837
PCT205957,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,32D,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,55,0,55,50,bras_regular_contour,SUP,,55,0,55,0.024295432458697766,28,Alpha_numeric,0.016632923991126293,0.018973331927901339
PCT205958,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,32DD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,50,0,50,50,bras_regular_contour,SUP,,50,0,50,0.024295432458697766,28,Alpha_numeric,0.014774321660118472,0.01791925793190682
PCT205959,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,32DDD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,40,0,40,0,bras_regular_contour,SUP,,40,0,40,0.0,28,Alpha_numeric,0.011671329171273911,0.015811109939917783
PCT205960,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,34A,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,78,0,78,50,bras_regular_contour,SUP,,78,0,78,0.024295432458697766,28,Alpha_numeric,0.025210068039718064,0.023189627911879413
PCT205961,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,34B,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,286,0,286,143,bras_regular_contour,SUP,,286,0,286,0.069484936831875607,28,Alpha_numeric,0.0705460790821199,0.06819858754084536
PCT205962,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,34C,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,285,0,285,142,bras_regular_contour,SUP,,285,0,285,0.068999028182701649,28,Alpha_numeric,0.0691094191921515,0.0676715505428481
PCT205963,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,34D,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,201,0,201,100,bras_regular_contour,SUP,,201,0,201,0.048590864917395532,28,Alpha_numeric,0.046894489695863288,0.047117107620954987
PCT205964,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,34DD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,193,0,193,98,bras_regular_contour,SUP,,193,0,193,0.047619047619047616,28,Alpha_numeric,0.0382869687289513,0.0451143670285654
PCT205965,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,34DDD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,137,0,137,75,bras_regular_contour,SUP,,137,0,137,0.036443148688046649,28,Alpha_numeric,0.025527429576790023,0.032887108675028989
PCT205966,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,36A,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,44,0,44,50,bras_regular_contour,SUP,,44,0,44,0.024295432458697766,28,Alpha_numeric,0.024592386978272911,0.016759776536312849
PCT205967,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,36B,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,252,0,252,122,bras_regular_contour,SUP,,252,0,252,0.059280855199222549,28,Alpha_numeric,0.06817373288618768,0.059765995572889218
PCT205968,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,36C,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,401,0,401,202,bras_regular_contour,SUP,,401,0,401,0.098153547133138966,28,Alpha_numeric,0.11079493295941276,0.097396437229893537
PCT205969,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,36D,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,281,0,281,142,bras_regular_contour,SUP,,281,0,281,0.068999028182701649,28,Alpha_numeric,0.073226881528635629,0.067355328344049753
PCT205970,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,36DD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,285,0,285,142,bras_regular_contour,SUP,,285,0,285,0.068999028182701649,28,Alpha_numeric,0.055555670692692342,0.067776957942447563
PCT205971,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,36DDD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,226,0,226,108,bras_regular_contour,SUP,,226,0,226,0.052478134110787174,28,Alpha_numeric,0.042351335443404525,0.052387477600927587
PCT205972,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,38B,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,159,0,159,82,bras_regular_contour,SUP,,159,0,159,0.039844509232264333,28,Alpha_numeric,0.044584151489471743,0.037103404659007064
PCT205973,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,38C,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,306,0,306,153,bras_regular_contour,SUP,,306,0,306,0.074344023323615158,28,Alpha_numeric,0.081405652467368361,0.0729419205228207
PCT205974,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,38D,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,289,0,289,144,bras_regular_contour,SUP,,289,0,289,0.069970845481049565,28,Alpha_numeric,0.068170564097538286,0.068936439338041527
PCT205975,PCT205977,Louisa Medium Beige,Louisa Medium Beige,bras,regular,38DD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187089.jpg,Beige,2026-01-03,2026-03-01,New,,0,191,0,191,98,bras_regular_contour,SUP,,191,0,191,0.047619047619047616,28,Alpha_numeric,0.058079385063526716,0.044587330030568147
PCT206008,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,30A,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,5,0,5,0,bras_regular_contour,SUP,,5,0,5,0.0,28,Alpha_numeric,0.0062170874464641005,0.0021081479919890377
PCT206009,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,30B,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,1,0,1,0,bras_regular_contour,SUP,,1,0,1,0.0,28,Alpha_numeric,0.0037362863044272548,0.001791925793190682
PCT206010,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,30C,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,2,0,2,0,bras_regular_contour,SUP,,2,0,2,0.0,28,Alpha_numeric,0.003799576851385468,0.0021081479919890377
PCT206011,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,30D,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,1,0,1,0,bras_regular_contour,SUP,,1,0,1,0.0,28,Alpha_numeric,0.0044009448051819146,0.0022135553915884894
PCT206012,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,30DD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,1,0,1,0,bras_regular_contour,SUP,,1,0,1,0.0,28,Alpha_numeric,0.0025180013357716411,0.0023189627911879415
PCT206013,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,30DDD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,3,0,3,0,bras_regular_contour,SUP,,3,0,3,0.0,28,Alpha_numeric,0.0047104822901356579,0.0025297775903868449
PCT206014,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,32A,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,94,0,94,50,bras_regular_contour,SUP,,94,0,94,0.023234200743494422,28,Alpha_numeric,0.017862492075776112,0.014335406345525456
PCT206015,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,32B,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,188,0,188,88,bras_regular_contour,SUP,,188,0,188,0.040892193308550186,28,Alpha_numeric,0.025945514157178679,0.026246442500263516
PCT206016,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,32C,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,128,0,128,61,bras_regular_contour,SUP,,128,0,128,0.028345724907063198,28,Alpha_numeric,0.020185129002214187,0.024454516707072837
PCT206017,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,32D,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,54,0,54,50,bras_regular_contour,SUP,,54,0,54,0.023234200743494422,28,Alpha_numeric,0.016632923991126293,0.018973331927901339
PCT206018,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,32DD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,47,0,47,50,bras_regular_contour,SUP,,47,0,47,0.023234200743494422,28,Alpha_numeric,0.014774321660118472,0.01791925793190682
PCT206019,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,32DDD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,23,0,23,0,bras_regular_contour,SUP,,23,0,23,0.0,28,Alpha_numeric,0.011671329171273911,0.015811109939917783
PCT206020,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,34A,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,110,0,110,51,bras_regular_contour,SUP,,110,0,110,0.023698884758364312,28,Alpha_numeric,0.025210068039718064,0.023189627911879413
PCT206021,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,34B,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,358,0,358,171,bras_regular_contour,SUP,,358,0,358,0.079460966542750935,28,Alpha_numeric,0.0705460790821199,0.06819858754084536
PCT206022,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,34C,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,335,0,335,155,bras_regular_contour,SUP,,335,0,335,0.07202602230483271,28,Alpha_numeric,0.0691094191921515,0.0676715505428481
PCT206023,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,34D,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,214,0,214,93,bras_regular_contour,SUP,,214,0,214,0.043215613382899629,28,Alpha_numeric,0.046894489695863288,0.047117107620954987
PCT206024,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,34DD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,168,0,168,74,bras_regular_contour,SUP,,168,0,168,0.034386617100371747,28,Alpha_numeric,0.0382869687289513,0.0451143670285654
PCT206025,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,34DDD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,67,0,67,50,bras_regular_contour,SUP,,67,0,67,0.023234200743494422,28,Alpha_numeric,0.025527429576790023,0.032887108675028989
PCT206026,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,36A,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,47,0,47,50,bras_regular_contour,SUP,,47,0,47,0.023234200743494422,28,Alpha_numeric,0.024592386978272911,0.016759776536312849
PCT206027,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,36B,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,307,0,307,139,bras_regular_contour,SUP,,307,0,307,0.0645910780669145,28,Alpha_numeric,0.06817373288618768,0.059765995572889218
PCT206028,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,36C,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,521,0,521,238,bras_regular_contour,SUP,,521,0,521,0.11059479553903345,28,Alpha_numeric,0.11079493295941276,0.097396437229893537
PCT206029,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,36D,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,312,0,312,137,bras_regular_contour,SUP,,312,0,312,0.063661710037174718,28,Alpha_numeric,0.073226881528635629,0.067355328344049753
PCT206030,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,36DD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,272,0,272,119,bras_regular_contour,SUP,,272,0,272,0.055297397769516726,28,Alpha_numeric,0.055555670692692342,0.067776957942447563
PCT206031,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,36DDD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,137,0,137,51,bras_regular_contour,SUP,,137,0,137,0.023698884758364312,28,Alpha_numeric,0.042351335443404525,0.052387477600927587
PCT206032,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,38B,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,190,0,190,83,bras_regular_contour,SUP,,190,0,190,0.038568773234200743,28,Alpha_numeric,0.044584151489471743,0.037103404659007064
PCT206033,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,38C,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,370,0,370,175,bras_regular_contour,SUP,,370,0,370,0.081319702602230481,28,Alpha_numeric,0.081405652467368361,0.0729419205228207
PCT206034,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,38D,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,315,0,315,139,bras_regular_contour,SUP,,315,0,315,0.0645910780669145,28,Alpha_numeric,0.068170564097538286,0.068936439338041527
PCT206035,PCT206043,Louisa Light Green,Louisa Light Green,bras,regular,38DD,Top,contour,Demi,Delta Bogart Lingerie Limited,https://www.adoreme.com/thumbnails/840_123/gallery/0/187091.jpg,Green,2026-01-03,2026-03-01,New,,0,276,0,276,128,bras_regular_contour,SUP,,276,0,276,0.059479553903345722,28,Alpha_numeric,0.058079385063526716,0.044587330030568147
